Seasons       SeasonalRain           Yearly                 Yearly_Avg             AvgSeasonalRain
1998          443.77                 585.28                 48.77                  73.96
1999          343.67                 479.96                 40                     57.28
2000          418.08                 622.59                 51.88                  69.68
2001          592.78                 785.42                 65.45                  98.8
2002          489.75                 615.13                 51.26                  81.63
2003          454.58                 634.1                  52.84                  75.76
2004          363.19                 524.4                  43.7                   60.53
2005          580.9                  769.3                  64.11                  96.82
2006          435.41                 692.64                 57.72                  72.57
2007          488.53                 661.27                 55.11                  81.42
2008          496.59                 655.42                 54.62                  82.77
2009          443.87                 650.74                 54.23                  73.98
2010          461.59                 626.91                 52.24                  76.93
2011          583.97                 783.07                 65.26                  97.33
2012          532.8                  740.67                 61.72                  88.8
2013          412.21                 608.33                 50.69                  68.7
2014          585.08                 778.33                 64.86                  97.51
2015          510.83                 686.81                 57.23                  85.14
2016          781.77                 1002.66                83.56                  130.29
2017          543.95                 806.62                 67.22                  90.66
