Country    Year                   Season                                          November               December               January                February               March                  April                  SeasonalRain/mm        AvgSeasonalRain/mm
---------- ---------------------- ----------------------------------------------- ---------------------- ---------------------- ---------------------- ---------------------- ---------------------- ---------------------- ---------------------- ----------------------
Malawi     1999                   1998-1999                                       61.52                  115.75                 208.45                 197.16                 204.87                 72.03                  859.78                 143.3
Malawi     2000                   1999-2000                                       150.56                 230.56                 226.04                 293.5                  262.59                 71.98                  1235.23                205.87
Malawi     2001                   2000-2001                                       46.28                  181.66                 262.96                 136.25                 218.19                 75.87                  921.21                 153.53
Malawi     2002                   2001-2002                                       75.84                  160.63                 191.63                 203.62                 223.95                 81.68                  937.35                 156.23
Malawi     2003                   2002-2003                                       33.11                  187.45                 264.37                 186.55                 165.02                 157.22                 993.72                 165.62
Malawi     2004                   2003-2004                                       71.59                  236.68                 215.85                 110.07                 156.42                 63.49                  854.1                  142.35
Malawi     2005                   2004-2005                                       85.93                  179.78                 122.13                 94.18                  199.52                 137.14                 818.68                 136.45
Malawi     2006                   2005-2006                                       92.72                  257.67                 316.02                 186.01                 147.72                 67.79                  1067.93                177.99
Malawi     2007                   2006-2007                                       55.24                  237.74                 225.43                 225.86                 192.43                 59.17                  995.87                 165.98
Malawi     2008                   2007-2008                                       51.12                  251.07                 256.96                 200.01                 219.54                 83.17                  1061.87                176.98
Malawi     2009                   2008-2009                                       87.24                  209.38                 203                    207.64                 164.06                 93.31                  964.63                 160.77
Malawi     2010                   2009-2010                                       25.92                  152.32                 213.02                 312.54                 211.4                  115.5                  1030.7                 171.78
Malawi     2011                   2010-2011                                       54.72                  153.73                 251.33                 182.46                 205.88                 49.26                  897.38                 149.56
Malawi     2012                   2011-2012                                       41.56                  204.83                 254.61                 153.45                 185.12                 88.23                  927.8                  154.63
Malawi     2013                   2012-2013                                       55.14                  202.56                 224.01                 257.65                 42.64                  132.31                 914.31                 152.38
Malawi     2014                   2013-2014                                       71.54                  172.76                 240.71                 164.11                 187.58                 52.66                  889.36                 148.23
Malawi     2015                   2014-2015                                       45.98                  194.08                 272.09                 169.02                 156.4                  105.51                 943.08                 157.18
Malawi     2016                   2015-2016                                       27.72                  182.71                 210.87                 264.38                 171.01                 103.54                 960.23                 160.04
Malawi     2017                   2016-2017                                       73.56                  218.08                 214.38                 214.54                 188.69                 100.6                  1009.85                168.31
Malawi     2018                   2017-2018                                       63.56                  289.61                 275.52                 262.25                 314.81                 100.13                 1305.88                217.65
Mozambique 1999                   1998-1999                                       83.82                  121.93                 208.78                 262.13                 219.79                 80.24                  976.69                 162.78
Mozambique 2000                   1999-2000                                       128.7                  189.02                 174.5                  274.77                 239.82                 63.85                  1070.66                178.44
Mozambique 2001                   2000-2001                                       85.58                  211.66                 177.21                 126.97                 160.58                 86.76                  848.76                 141.46
Mozambique 2002                   2001-2002                                       80.36                  121.6                  171.92                 177.41                 220.55                 62.96                  834.8                  139.13
Mozambique 2003                   2002-2003                                       56.71                  148.18                 224.16                 167.46                 177.72                 130.19                 904.42                 150.74
Mozambique 2004                   2003-2004                                       75.85                  209.13                 176.16                 123.13                 117.09                 55.88                  757.24                 126.21
Mozambique 2005                   2004-2005                                       59.86                  194.15                 147.46                 149.64                 207.93                 86.15                  845.19                 140.86
Mozambique 2006                   2005-2006                                       78.55                  172.22                 258.33                 183.97                 121.75                 84.92                  899.74                 149.96
Mozambique 2007                   2006-2007                                       67.24                  182.37                 252.03                 167.86                 140.94                 46.03                  856.47                 142.75
Mozambique 2008                   2007-2008                                       49.61                  224.26                 191.83                 178.57                 142.86                 60.65                  847.78                 141.3
