Year                   Seasons    SeasonalRain           Yearly                 Yearly_Avg             AvgSeasonalRain
---------------------- ---------- ---------------------- ---------------------- ---------------------- ----------------------
1999                   1998-1999  859.78                 1123.48                93.62                  143.3
2000                   1999-2000  1235.23                1142.12                95.18                  205.87
2001                   2000-2001  921.21                 969.07                 80.76                  153.53
2002                   2001-2002  937.35                 983.99                 82                     156.23
2003                   2002-2003  993.72                 1133.61                94.47                  165.62
2004                   2003-2004  854.1                  860.13                 71.68                  142.35
2005                   2004-2005  818.68                 960.22                 80.02                  136.45
2006                   2005-2006  1067.93                1072.39                89.37                  177.99
2007                   2006-2007  995.87                 1065.64                88.8                   165.98
2008                   2007-2008  1061.87                1086.88                90.57                  176.98
2009                   2008-2009  964.63                 910.59                 75.88                  160.77
2010                   2009-2010  1030.7                 1124.86                93.74                  171.78
2011                   2010-2011  897.38                 984.88                 82.07                  149.56
2012                   2011-2012  927.8                  1034.99                86.25                  154.63
2013                   2012-2013  914.31                 974.4                  81.2                   152.38
2014                   2013-2014  889.36                 909.83                 75.82                  148.23
2015                   2014-2015  943.08                 950.74                 79.23                  157.18
2016                   2015-2016  960.23                 1136.79                94.73                  160.04
2017                   2016-2017  1009.85                1152.74                96.06                  168.31
2018                   2017-2018  1305.88                1375.25                114.6                  217.65

(20 rows affected)


Completion time: 2022-07-07T11:23:35.9633485-04:00
