Year                   Seasons    SeasonalRain           Yearly                 Yearly_Avg             AvgSeasonalRain
---------------------- ---------- ---------------------- ---------------------- ---------------------- ----------------------
1999                   1998-1999  976.69                 1225.89                102.16                 162.78
2000                   1999-2000  1070.66                1153.96                96.16                  178.44
2001                   2000-2001  848.76                 870.44                 72.54                  141.46
2002                   2001-2002  834.8                  963.56                 80.3                   139.13
2003                   2002-2003  904.42                 1108.71                92.39                  150.74
2004                   2003-2004  757.24                 831.52                 69.29                  126.21
2005                   2004-2005  845.19                 937.04                 78.09                  140.86
2006                   2005-2006  899.74                 990.58                 82.55                  149.96
2007                   2006-2007  856.47                 964.58                 80.38                  142.75
2008                   2007-2008  847.78                 907.36                 75.61                  141.3
2009                   2008-2009  833.3                  939.56                 78.3                   138.88
2010                   2009-2010  895.9                  992.47                 82.71                  149.32
2011                   2010-2011  831.69                 935.89                 77.99                  138.62
2012                   2011-2012  840.99                 997.51                 83.13                  140.16
2013                   2012-2013  882.78                 967.39                 80.62                  147.13
2014                   2013-2014  834.3                  889.31                 74.11                  139.05
2015                   2014-2015  794.76                 861                    71.75                  132.46
2016                   2015-2016  929.59                 1141.01                95.08                  154.93
2017                   2016-2017  986.37                 1041.34                86.78                  164.39
2018                   2017-2018  1033.53                1148.56                95.71                  172.25

(20 rows affected)


Completion time: 2022-07-07T11:24:25.3124810-04:00
