Year                   Seasons    SeasonalRain           Yearly                 Yearly_Avg             AvgSeasonalRain
1998                   1998-1999  766.48                 996.32                 83.03                  127.75
1999                   1999-2000  906.38                 922.4                  76.87                  151.06
2000                   2000-2001  745.93                 943.34                 78.61                  124.32
2001                   2001-2002  863.99                 1147.93                95.66                  144
2002                   2002-2003  639.47                 792.05                 66                     106.58
2003                   2003-2004  780.41                 1033.61                86.13                  130.07
2004                   2004-2005  562.19                 797.7                  66.48                  93.7
2005                   2005-2006  1055.25                1198.55                99.88                  175.88
2006                   2006-2007  683.66                 952.73                 79.39                  113.94
2007                   2007-2008  698.02                 953.71                 79.48                  116.34
2008                   2008-2009  744.76                 950.41                 79.2                   124.13
2009                   2009-2010  649.74                 903.2                  75.27                  108.29
2010                   2010-2011  791.77                 1027.96                85.66                  131.96
2011                   2011-2012  709.64                 827.48                 68.96                  118.27
2012                   2012-2013  839.91                 995.2                  82.93                  139.98
2013                   2013-2014  733.37                 969.25                 80.77                  122.23
2014                   2014-2015  918.49                 1003.05                83.59                  153.08
2015                   2015-2016  766.68                 1128.39                94.03                  127.78
2016                   2016-2017  784.6                  991.7                  82.64                  130.77
2017                   2017-2018  839.01                 1087.73                90.64                  139.84
