Year                   Seasons    March                  April                  May                    November               December               January                HeavyRains             ShortRains             SeasonalRain           AvgSeasonalRain
x1998                   1998-1999  260.6                  168.46                 41.33                  102.62                 102.9                  90.57                  470.39                 296.09                 766.48                 127.75
1999                   1999-2000  185.19                 108.36                 51.61                  141.66                 202.78                 216.78                 345.16                 561.22                 906.38                 151.06
2000                   2000-2001  159.93                 134.84                 41                     61.62                  138.71                 209.83                 335.77                 410.16                 745.93                 124.32
2001                   2001-2002  234.04                 165.06                 49.87                  105.78                 171.79                 137.45                 448.97                 415.02                 863.99                 144
2002                   2002-2003  128.65                 115.45                 83.82                  42.35                  123.18                 146.02                 327.92                 311.55                 639.47                 106.58
2003                   2003-2004  155.17                 172.4                  14.46                  102.73                 172.81                 162.84                 342.03                 438.38                 780.41                 130.07
2004                   2004-2005  161.57                 112.92                 69.6                   41.13                  80.21                  96.76                  344.09                 218.1                  562.19                 93.7
2005                   2005-2006  177.41                 190.7                  84.46                  165.64                 263.08                 173.96                 452.57                 602.68                 1055.25                175.88
2006                   2006-2007  174.43                 110.57                 52.31                  55.51                  154.51                 136.33                 337.31                 346.35                 683.66                 113.94
2007                   2007-2008  211.67                 117.43                 33.86                  95.61                  105.43                 134.02                 362.96                 335.06                 698.02                 116.34
2008                   2008-2009  176.74                 108.1                  38.82                  104.55                 171.61                 144.94                 323.66                 421.1                  744.76                 124.13
2009                   2009-2010  177.74                 132.04                 61.68                  53.67                  120.13                 104.48                 371.46                 278.28                 649.74                 108.29
2010                   2010-2011  174.85                 133                    54.72                  119.45                 204.97                 104.78                 362.57                 429.2                  791.77                 131.96
2011                   2011-2012  108.42                 161.18                 43.43                  81.02                  158.25                 157.34                 313.03                 396.61                 709.64                 118.27
2012                   2012-2013  215.8                  170.38                 39.21                  100.66                 162.72                 151.14                 425.39                 414.52                 839.91                 139.98
2013                   2013-2014  111                    143.59                 60.94                  111.76                 158.91                 147.17                 315.53                 417.84                 733.37                 122.23
2014                   2014-2015  122.43                 185.32                 75.54                  121.55                 183.54                 230.11                 383.29                 535.2                  918.49                 153.08
2015                   2015-2016  165.21                 227.45                 59.83                  72.87                  143.64                 97.68                  452.49                 314.19                 766.68                 127.78
2016                   2016-2017  165.13                 142.97                 72.36                  99.61                  109.84                 194.69                 380.46                 404.14                 784.6                  130.77
2017                   2017-2018  209.11                 178.3                  67.98                  86.35                  166.34                 130.93                 455.39                 383.62                 839.01                 139.84
