Year                   SeasonalRain           Yearly                 Yearly_Avg             AvgSeasonalRain
1998                   781.99                 1264.89                105.41                 130.33
1999                   690.51                 1134.25                94.52                  115.09
2000                   687.44                 1236.15                103.01                 114.57
2001                   811.95                 1230.87                102.57                 135.33
2002                   719.58                 1200.45                100.04                 119.93
2003                   658.44                 1158.33                96.53                  109.74
2004                   593.16                 1059.79                88.32                  98.86
2005                   781.63                 1284.82                107.07                 130.27
2006                   631.2                  1422.07                118.51                 105.2
2007                   698.01                 1239.78                103.31                 116.33
2008                   692.43                 1175.63                97.97                  115.4
2009                   736                    1358.54                113.21                 122.67
2010                   711.83                 1241.79                103.48                 118.64
2011                   821.72                 1366.72                113.89                 136.95
2012                   800.29                 1425.14                118.76                 133.38
2013                   643.16                 1181.13                98.43                  107.19
2014                   800.68                 1313.47                109.46                 133.45
2015                   737.08                 1268.86                105.74                 122.85
2016                   815.79                 1399.84                116.65                 135.97
2017                   749.04                 1274.67                106.22                 124.84
