Year                   Seasons    SeasonalRain           Yearly                 Yearly_Avg             AvgSeasonalRain
---------------------- ---------- ---------------------- ---------------------- ---------------------- ----------------------
1999                   1998-1999  858.89                 1225.89                102.16                 143.15
2000                   1999-2000  1140.75                1153.96                96.16                  190.13
2001                   2000-2001  824.38                 870.44                 72.54                  137.4
2002                   2001-2002  1026.37                963.56                 80.3                   171.06
2003                   2002-2003  991.71                 1108.71                92.39                  165.29
2004                   2003-2004  836.71                 831.52                 69.29                  139.45
2005                   2004-2005  931.19                 937.04                 78.09                  155.2
2006                   2005-2006  955.19                 990.58                 82.55                  159.2
2007                   2006-2007  1010.03                964.58                 80.38                  168.34
2008                   2007-2008  950.21                 907.36                 75.61                  158.37
2009                   2008-2009  1020.62                939.56                 78.3                   170.1
2010                   2009-2010  912.52                 992.47                 82.71                  152.09
2011                   2010-2011  1064.2                 935.89                 77.99                  177.37
2012                   2011-2012  935.88                 997.51                 83.13                  155.98
2013                   2012-2013  969.51                 967.39                 80.62                  161.59
2014                   2013-2014  954.19                 889.31                 74.11                  159.03
2015                   2014-2015  811.14                 861                    71.75                  135.19
2016                   2015-2016  1008.17                1141.01                95.08                  168.03
2017                   2016-2017  969.33                 1041.34                86.78                  161.55
2018                   2017-2018  977.19                 1148.56                95.71                  162.86

(20 rows affected)


Completion time: 2022-07-07T11:25:02.7634921-04:00
