Year                   Seasons    Malawi_Seasonal        Mozambique_Seasonal    Zambia_Seasonal
1999                   1998-1999  859.78                 976.69                 858.89
2000                   1999-2000  1235.23                1070.66                1140.75
2001                   2000-2001  921.21                 848.76                 824.38
2002                   2001-2002  937.35                 834.8                  1026.37
2003                   2002-2003  993.72                 904.42                 991.71
2004                   2003-2004  854.1                  757.24                 836.71
2005                   2004-2005  818.68                 845.19                 931.19
2006                   2005-2006  1067.93                899.74                 955.19
2007                   2006-2007  995.87                 856.47                 1010.03
2008                   2007-2008  1061.87                847.78                 950.21
2009                   2008-2009  964.63                 833.3                  1020.62
2010                   2009-2010  1030.7                 895.9                  912.52
2011                   2010-2011  897.38                 831.69                 1064.2
2012                   2011-2012  927.8                  840.99                 935.88
2013                   2012-2013  914.31                 882.78                 969.51
2014                   2013-2014  889.36                 834.3                  954.19
2015                   2014-2015  943.08                 794.76                 811.14
2016                   2015-2016  960.23                 929.59                 1008.17
2017                   2016-2017  1009.85                986.37                 969.33
2018                   2017-2018  1305.88                1033.53                977.19
