url,title,address,datePosted,price,propertyType,bedrooms,bathrooms,description,utilities,parking,aggreementType,petFriendly,size,furnished,appliances,a/c,outdoorSpace,amenities
https://www.kijiji.ca/v-apartments-condos/city-of-toronto/one-bedroom-steps-to-finch-subway-utilities-included/1688808011,"One bedroom, Steps to Finch subway, Utilities included","Olive Avenue, North York, ON",2024-03-21T04:44:14.000Z,"$2,500",Condo,Bedrooms: 1,Bathrooms: 1,"breathtaking unobstructed north-east views meet an abundance of sunlight. This move-in-ready home features an open-concept living space with laminated flooring, rare pot lights in the bedroom for customizable ambiance, and an array of floor-to-ceiling windows leading out to an open balcony. With one parking spot and a locker included, and situated just steps from Yonge/Finch Subway Station, Viva, and Go Bus Station, convenience is at your doorstep. Nearby supermarkets and restaurants enhance your lifestyle, offering everything you need and more. Residents enjoy exclusive access to top-notch amenities including a Party Room, Gym, Parking Garage, Visitor Parking, Meeting Room, Security Guard, Security System, Bike Storage, and Rec Room. Comprehensive monthly maintenance fees cover Air Conditioning, Common Element, Heat, Hydro, Building Insurance, Parking, and Water, ensuring a worry-free living experience.
Extras:Residents enjoy exclusive access to amenities including a Party Room, Gym, Parking Garage, Visitor Parking, Meeting Room, Security Guard, Security System, Bike Storage, and Rec Room.
Inclusions:Fridge, Stove, Dishwasher, Washer & Dryer. All utilities included. One (1) Parking and One (1) Locker included","['Yes: Hydro', 'Yes: Heat', 'Yes: Water', 'Yes: Water']",1,1 Year,Limited,600,No,"['Laundry (In Unit)', '', 'Dishwasher', 'Fridge / Freezer']",Yes,Balcony,"['Gym', '', 'Concierge', '24 Hour Security', 'Bicycle Parking', 'Storage Space', 'Elevator in Building']"
https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/mississauga-square-one-3-bedroom-unit-for-rent/1688807596,Mississauga Square One 3 bedroom unit for rent,"Mississauga, ON L5C 3M3",2024-03-21T04:31:20.000Z,"$2,180",House,Bedrooms: 3,Bathrooms: 1,"Walkable distance to Square One Mississauga, lots of shops, restaurants, groceries nearby. 3km from UTM and 1km from Erindale Go Train station, direct buses going to UTM and Erindale station. The house is located in a quiet community, no traffic noise.",['Not Included'],1,1 Year,Limited,900,No,"['Laundry (In Unit)', '', 'Dishwasher', 'Fridge / Freezer']",Yes,,[]
https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/1-bedroom-suite-available-in-3-floor-apt-building-in-brampton/1505529481,,,,,,,,,[],,,,,,[],,,[]
https://www.kijiji.ca/v-apartments-condos/city-of-toronto/luxury-condo-near-scarborough-town-cente/1688807077,Luxury Condo near Scarborough Town Cente,"Lee Centre Dr, Scarborough, ON M1H",2024-03-21T04:14:21.000Z,"$2,500",Condo,Bedrooms: 2,Bathrooms: 1,"Luxury condo for rental : 2 bed and 1 washroom in PRIME LOCATION
Enjoy top-tier amenities such as 24-hour security, a modern gym, billiards room, indoor pool, and ample visitor parking. Located near the Scarborough Town Center, YMCA, supermarkets, and various restaurants. Walk To Bus Station, Restaurants, Shopping Mall.
Easy access to the 401 and TTC at your doorstep. Close proximity to Centennial College and the University of Toronto Scarborough Campus. Ideal for students and working professionals. Make this your next home!
The Unit Includes Fridge, Flat Surface Stove, B/I Dishwasher, Ensuite Washer And Dryer, All Window coverings.
Rent Includes 1 Parking",['Not Included'],1,1 Year,Limited,720,No,[],Yes,,[]
https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/one-bedroom-basement-available-from-1st-april-2024/1688806705,One bedroom basement available from 1st April 2024.,"Mississauga, ON L4T",2024-03-21T04:02:03.000Z,"$1,500",Basement,Bedrooms: 1,Bathrooms: 1,"One bedroom spacious basement available in Malton from 1st April, 2024. It includes one parking and is very well ventilated. It’s closer to Westwood mall, banks, fresco.",['Not Included'],1,Month-to-month,No,800,No,"['Laundry (In Unit)', '', '', '']",Yes,,[]
https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/dundas-trafalgar-one-bed-branthaven-condo-avail-for-rent-april-1/1688806308,Dundas/Trafalgar One Bed Branthaven Condo Avail For Rent April 1,"Oakville, ON L6H 7W6",2024-03-21T03:50:13.000Z,"$2,075",Condo,Bedrooms: 1,Bathrooms: 1,"Preferred Single $2075, Couple $2200 Brand New Never Lived In 1 Bedroom Condo unit an Upper West Side Condos. 600 square Feet. Very spacious open concept floorplan. Closed off Laundry Room. Ideal location! Close to Sheridan College, 407, 403, Oakville Hospital. Many amenities including grocery shopping which is walking distance from building. Building amenities include gym/fitness centre, concierge, Party room, Rooftop terrace. Co-Working social space. Geothermal system-allows heating or cooling at all times.**** EXTRAS **** One Parking and locker. Stainless Steel Appliances. Washer and Dryer. Smart Connect, keyless entry. Digital parcel locker. Fitness Room. Party Room. Roof Top Terrace BBQ's. . Rental Application , employment letter and credit check a must. First and last month required. Call Greg (Remax Agent ) at 416 726 3824 for more information.",['Not Included'],1,1 Year,Limited,600,No,"['Laundry (In Unit)', '', 'Dishwasher', 'Fridge / Freezer']",Yes,Balcony,"['Gym', '', 'Concierge', '24 Hour Security', 'Bicycle Parking', 'Storage Space', 'Elevator in Building']"
https://www.kijiji.ca/v-apartments-condos/oshawa-durham-region/bachelor-apt/1688805888,Bachelor Apt,"Meath Dr, Oshawa, ON, L1K 0G3",2024-03-21T03:39:22.000Z,"$1,450",Basement,Bedrooms: Bachelor/Studio,Bathrooms: 1,"Bachelor Apt partially above ground large windows, California shutters, separate entrance, separate walkway, private personal deck with use of backyard. All utilities, parking and cable included
Shared laundry with owner.
Seeking Single occupancy, no pets, no smoking in the house..
Best suited for student or full time employed individual.
First and last required
Available April 1, 2024",['Not Included'],1,Month-to-month,No,800,No,[],Yes,,[]
https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-condo-in-north-york-yonge-sheppard/1688337272,1 Bedroom Condo in North York - Yonge & Sheppard,"North York, ON M2N 7E3",2024-03-21T03:30:29.000Z,"$2,550",Condo,Bedrooms: 1,Bathrooms: 1,"Experience living in one of North York's top 100 condos with this 1-bedroom unit at Skymark Condominiums, positioned strategically just north of Yonge and Hwy 401.","['No: Hydro', 'Yes: Heat', 'Yes: Water', 'Yes: Water']",2,1 Year,Limited,625,No,"['Laundry (In Unit)', '', 'Dishwasher', 'Fridge / Freezer']",Yes,Balcony,"['Gym', 'Pool', 'Concierge', '24 Hour Security', 'Bicycle Parking', 'Storage Space', 'Elevator in Building']"
https://www.kijiji.ca/v-apartments-condos/city-of-toronto/sheppard-don-mills-fairview-mall-1-bedroom-emerald-city-condo/1688805430,Sheppard–Don Mills (Fairview Mall) 1-bedroom Emerald City Condo,"70 Forest Manor Road, North York, ON",2024-03-21T03:27:50.000Z,"$2,500",Condo,Bedrooms: 1,Bathrooms: 1,Condominium for Rent,"['No: Hydro', 'Yes: Heat', 'Yes: Water', 'Yes: Water']",1,1 Year,No,600,No,"['Laundry (In Unit)', '', 'Dishwasher', 'Fridge / Freezer']",Yes,Balcony,"['Gym', 'Pool', 'Concierge', '24 Hour Security', 'Bicycle Parking', 'Storage Space', 'Elevator in Building']"
https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/1-bedroom-bsmt-apt-near-derry-n-mavis/1688805192,1 Bedroom Bsmt apt near Derry n Mavis,"Magistrate Terrace, Mississauga, ON L5W",2024-03-21T03:21:55.000Z,"$1,600",Basement,Bedrooms: 1,Bathrooms: 1,"1 Bedroom Basement Apartment Available in a Detached House near Derry and Mavis.
No parking Available
Rent $1,600+30% Utilities
It has
Separate Entrance
Foyer
Full Kitchen with stainless steel appliances
Breakfast area + Living Room
3 pcs Washroom
Bedroom
No parking available
Walk in distance to
- 3 bus stops
- Major Grocery Stores (Food Basic, Nofrills, Meat shop, Punjabi Bazar, Sabzi Mandi and much more)
- Major Banks on walk-in Distance (TD, RBC, BMO)
- 3 Dental and Walk in Clinics.
- Major Food Chains (Mcdonald, Hero Burger, Pizza Pizza, Subway, Wild Wings, Popeyes Louisiana Kitchen, GuruLukshmi, and Much More )
- Dollarama, Shopper Drug Mart
Short distance to Raylawson Plaza, Sheraton College.
Minutes away from HWY 401, 407.
Heartland close by.
Required:
AAA Credit.
References
Credit Check.",['Not Included'],0,1 Year,Limited,900,No,[],Yes,,[]
