,url,title,address,datePosted,price,propertyType,bedrooms,bathrooms,description,utilities,parking,aggreementType,petFriendly,size,furnished,appliances,a/c,outdoorSpace,amenities
0,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/beautiful-freshly-renovated-ground-floor-of-a-home/1693124205,"Beautiful, freshly renovated, ground floor of a home.","York, Toronto, York, ON M6E 3M6",2024-05-12T21:30:30.000Z,"$2,400",House,Bedrooms: 1,Bathrooms: 1,"Entire ground floor of a fully detached home.
OPEN HOUSE Fri., May 17, 6-8 PM & Sat., May 18, 12-5 PM.
All new: vinyl flooring, washer/dryer, kitchen,
bathroom, A/C, back deck
Parking avail onsite ($100/mo)
Private entrances, front & back
Exclusive use of new back deck.
Shared use of large back yard
Recently installed: adjustable rads in every room
Available May 19 or June 1, 2024
Central location: St. Clair Ave & Dufferin St.
2 minute walk to streetcars and buses
Quiet, safe neighbourhood
167 Westmount Ave.
OPEN HOUSES:
Fri May 17, 6;00 -8:00 PM and
Sat, May 18, 12:00 - 5:00 PM
PRIORITY TO APPLICANTS at OPEN HOUSE with CREDIT RATING / RESUME / REFERENCES","['Yes: Hydro', 'Yes: Heat', 'Yes: Water', 'Yes: Water']",1,1 Year,Yes,890,No,"['Laundry (In Unit)', '', '', 'Fridge / Freezer']",Yes,,[]
1,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/one-bdr-basement-apartment-for-male-student/1693197704,One bdr basement apartment (for male student),"North York, ON M2M 3Y1",2024-05-12T21:17:36.000Z,"$1,290",Basement,Bedrooms: 1,Bathrooms: 1,"Layout: Kitchen and dining area, washroom, one bedroom, plus small adjacent room which can be used as a study, walk-in closet or storage room.
- Washer and dryer in the unit.
- Kitchen: Fridge, new cooktop, microwave, electric kettle, dining table and chairs. Shared kitchen and washroom.
- New Orthopedic mattress.
- Free Unlimited High-Speed Internet / Wi-Fi
Access.
- Separate entrance for the tenant.
Great location, quiet neighborhood. All amenities within walking distance including Center Point mall, grocery stores, pharmacy, post office, Community Center (Fitness/Swimming Pool), Walk-in Clinic & Parks.
5 bus routes within a walking distance (3 - 5 min), 10 min ride to subway.
For Non-smokers only, no pets allowed.
First / last month payment required and some documents for rental application. Tenant is to pay 1/3 of utilities.
Apartment is for rent for 1 person only. Male student preferred.
For clean, quiet and respectful person, no parties or overnight stay.",['Not Included'],0,1 Year,No,600,Yes,"['Laundry (In Unit)', '', '', 'Fridge / Freezer']",Yes,,[]
2,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/upscale-large-1-bedroom-suite-yonge-and-st-clair-air-conditioned/1665241670,Upscale Large 1 Bedroom Suite Yonge and St Clair-Air Conditioned,"60 Pleasant Blvd., Toronto, ON, M4T 1K1",2024-05-12T21:16:44.000Z,"$2,427",Apartment,Bedrooms: 1,Bathrooms: 1,,[],,,,,,[],,,[]
3,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/beautiful-1-bedroom-furnished-ready-to-move-in-condo-for-rent/1693197621,Beautiful 1 Bedroom Furnished Ready To Move In Condo For Rent,"Scarborough, ON M1P",2024-05-12T21:16:27.000Z,"$3,000",Condo,Bedrooms: 1,Bathrooms: 1,"Beautiful 1 Bedroom All Furnished Ready To Move Condo With Unobstructed Amazing Views At The Luxurious Tridel 360 is Available for Rent. Was Furnished For Personal Use With Top Of The Line Furniture and Other Items Just A Few Months Before, Leasing Out Because of Change of Plans.","['Yes: Hydro', 'Yes: Heat', 'Yes: Water', 'Yes: Water']",1,1 Year,No,650,Yes,"['Laundry (In Unit)', '', 'Dishwasher', 'Fridge / Freezer']",Yes,Balcony,"['Gym', 'Pool', 'Concierge', '24 Hour Security', 'Bicycle Parking', '', 'Elevator in Building']"
4,https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/spacious-1-bedroom-rental-apartment-were-pet-friendly/1577162874,Spacious 1 Bedroom Rental Apartment - We're Pet Friendly,"85 Charolais Boulevard, Brampton, ON, L6Y 4E5",2024-05-12T21:01:54.000Z,"$2,095",Apartment,Bedrooms: 1,Bathrooms: 1,,[],,,,,,[],,,[]
5,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/beautiful-one-bedroom-apartment/1693120579,Beautiful One-Bedroom Apartment,"St Clair Ave E, Toronto, ON M1L 1W3",2024-05-12T20:45:32.000Z,"$2,195",Apartment,Bedrooms: 1,Bathrooms: 1,"Spacious one-bedroom apartment with large balcony on 2nd floor of private, quiet building. Heated underground or above ground parking available. Storage space is included with apartment. On-site laundry room equipped with Maytag washers and dryers. Conveniently situated, TTC bus stop located at street entrance, Warden Station metro is one block away. Though the apartment is peaceful and serene, the real plus are the quiet, respectful neighbors. All utilities except for fibre-optic internet and parking are included.","['Yes: Hydro', 'Yes: Heat', 'Yes: Water', 'Yes: Water']",0,1 Year,Limited,700,No,"['', 'Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",No,Balcony,"['', '', '', '', '', 'Storage Space', 'Elevator in Building']"
6,https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/get-approved-with-low-credit-score-for-condos-houses-seekers/1680138540,"GET APPROVED WITH LOW CREDIT SCORE FOR CONDOS, HOUSES, SEEKERS","Square One Dr, Mississauga, ON L5B",2024-05-12T20:45:30.000Z,"$1,850",Condo,Bedrooms: 1 + Den,Bathrooms: 1.5,Looking for a rental property we guarantee your approval. We can help with:,"['No: Hydro', 'No: Heat', 'Yes: Water', 'Yes: Water']",1,Month-to-month,Yes,750,Yes,[],Yes,,"['Gym', 'Pool', 'Concierge', '24 Hour Security', 'Bicycle Parking', 'Storage Space', 'Elevator in Building']"
7,https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/park-royal-village-apartments-2-bdrm-available-at-2360-bonner/1684053380,Park Royal Village Apartments - 2 Bdrm available at 2360 Bonner,"2360 Bonner Road, Mississauga, ON, L5J 2C7",2024-05-12T20:42:44.000Z,"$2,695",Apartment,Bedrooms: 2,Bathrooms: 1,,[],,,,,,[],,,[]
8,https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/park-royal-village-apartments-1-bdrm-available-at-2360-bonner/1684053506,Park Royal Village Apartments - 1 Bdrm available at 2360 Bonner,"2360 Bonner Road, Mississauga, ON, L5J 2C7",2024-05-12T20:42:43.000Z,"$2,360",Apartment,Bedrooms: 1,Bathrooms: 1,,[],,,,,,[],,,[]
9,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/recently-renovated-1-bedroom-1-bath/1693194846,RECENTLY RENOVATED 1 Bedroom 1 Bath,"Toronto, ON M6H 1E5",2024-05-12T20:38:01.000Z,"$2,000",Basement,Bedrooms: 1,Bathrooms: 1,"Very quiet, family neighbourhood. Right next to schools and daycare centres.",['Not Included'],0,1 Year,No,600,No,"['', 'Laundry (In Building)', '', 'Fridge / Freezer']",Yes,,[]
